==========Schedule parameters==========
{'device': 'GPU', 'CUDA_VISIBLE_DEVICES': '0', 'GPU_num': 1, 'benign_training': False, 'batch_size': 128, 'num_workers': 8, 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'gamma': 0.1, 'schedule': [100, 130], 'epochs': 150, 'log_iteration_interval': 100, 'test_epoch_interval': 10, 'save_epoch_interval': 20, 'save_dir': './attack/CIFAR10/ResNet18/BadNets', 'experiment_name': 'Normalize_ResNet18_CIFAR10_BadNets'}
==========Use GPUs to train==========
CUDA_VISIBLE_DEVICES=0
CUDA_SELECTED_DEVICES=0
Total train samples: 50000
Total test samples: 10000
Batch size: 128
iteration every epoch: 390
Initial learning rate: 0.1
[2026-04-22_18:26:04] Epoch:23/150, iteration:198/390, lr: 0.10000000149011612, loss: 0.30976009368896484, time: 11.783082962036133
[2026-04-22_18:26:16] Epoch:23/150, iteration:298/390, lr: 0.10000000149011612, loss: 0.17459025979042053, time: 11.76212453842163
[2026-04-22_18:26:28] Epoch:24/150, iteration:7/390, lr: 0.10000000149011612, loss: 0.2446601539850235, time: 11.991869688034058
[2026-04-22_18:26:40] Epoch:24/150, iteration:107/390, lr: 0.10000000149011612, loss: 0.2737102508544922, time: 11.746798515319824
[2026-04-22_18:26:52] Epoch:24/150, iteration:207/390, lr: 0.10000000149011612, loss: 0.20511794090270996, time: 11.735387802124023
[2026-04-22_18:27:03] Epoch:24/150, iteration:307/390, lr: 0.10000000149011612, loss: 0.27626582980155945, time: 11.732980251312256
[2026-04-22_18:27:15] Epoch:25/150, iteration:16/390, lr: 0.10000000149011612, loss: 0.13344794511795044, time: 12.017277717590332
[2026-04-22_18:27:27] Epoch:25/150, iteration:116/390, lr: 0.10000000149011612, loss: 0.449298620223999, time: 11.700912952423096
[2026-04-22_18:27:39] Epoch:25/150, iteration:216/390, lr: 0.10000000149011612, loss: 0.24834918975830078, time: 11.723636865615845
[2026-04-22_18:27:51] Epoch:25/150, iteration:316/390, lr: 0.10000000149011612, loss: 0.33173835277557373, time: 11.746562480926514
[2026-04-22_18:28:03] Epoch:26/150, iteration:25/390, lr: 0.10000000149011612, loss: 0.21891279518604279, time: 12.030517101287842
[2026-04-22_18:28:14] Epoch:26/150, iteration:125/390, lr: 0.10000000149011612, loss: 0.30452418327331543, time: 11.787641525268555
[2026-04-22_18:28:26] Epoch:26/150, iteration:225/390, lr: 0.10000000149011612, loss: 0.21096256375312805, time: 11.752456903457642
[2026-04-22_18:28:38] Epoch:26/150, iteration:325/390, lr: 0.10000000149011612, loss: 0.19288228452205658, time: 11.736040830612183
[2026-04-22_18:28:50] Epoch:27/150, iteration:34/390, lr: 0.10000000149011612, loss: 0.20159536600112915, time: 11.942828178405762
[2026-04-22_18:29:02] Epoch:27/150, iteration:134/390, lr: 0.10000000149011612, loss: 0.2723191976547241, time: 11.725054502487183
[2026-04-22_18:29:13] Epoch:27/150, iteration:234/390, lr: 0.10000000149011612, loss: 0.23103533685207367, time: 11.738484144210815
[2026-04-22_18:29:25] Epoch:27/150, iteration:334/390, lr: 0.10000000149011612, loss: 0.3246285915374756, time: 11.738999128341675
[2026-04-22_18:29:37] Epoch:28/150, iteration:43/390, lr: 0.10000000149011612, loss: 0.21659357845783234, time: 11.959711790084839
[2026-04-22_18:29:49] Epoch:28/150, iteration:143/390, lr: 0.10000000149011612, loss: 0.24237722158432007, time: 11.703145503997803
[2026-04-22_18:30:00] Epoch:28/150, iteration:243/390, lr: 0.10000000149011612, loss: 0.18644699454307556, time: 11.729445219039917
[2026-04-22_18:30:12] Epoch:28/150, iteration:343/390, lr: 0.10000000149011612, loss: 0.11655128747224808, time: 11.771950960159302
[2026-04-22_18:30:24] Epoch:29/150, iteration:52/390, lr: 0.10000000149011612, loss: 0.2135520875453949, time: 11.976080417633057
[2026-04-22_18:30:36] Epoch:29/150, iteration:152/390, lr: 0.10000000149011612, loss: 0.2150288075208664, time: 11.7613205909729
[2026-04-22_18:30:48] Epoch:29/150, iteration:252/390, lr: 0.10000000149011612, loss: 0.2810510993003845, time: 11.767935991287231
[2026-04-22_18:30:59] Epoch:29/150, iteration:352/390, lr: 0.10000000149011612, loss: 0.33879709243774414, time: 11.757386922836304
[2026-04-22_18:31:11] Epoch:30/150, iteration:61/390, lr: 0.10000000149011612, loss: 0.15269874036312103, time: 11.987360000610352
[2026-04-22_18:31:23] Epoch:30/150, iteration:161/390, lr: 0.10000000149011612, loss: 0.2580263912677765, time: 11.76488184928894
[2026-04-22_18:31:35] Epoch:30/150, iteration:261/390, lr: 0.10000000149011612, loss: 0.22349227964878082, time: 11.757373571395874
[2026-04-22_18:31:47] Epoch:30/150, iteration:361/390, lr: 0.10000000149011612, loss: 0.20485365390777588, time: 11.780445098876953
==========Test result on benign test dataset==========
[2026-04-22_18:31:53] Top-1 correct / Total: 8202/10000, Top-1 accuracy: 0.8202, Top-5 correct / Total: 9928/10000, Top-5 accuracy: 0.9928, mean loss: 0.53935307264328, time: 6.2220542430877686
==========Test result on poisoned test dataset==========
[2026-04-22_18:31:56] Top-1 correct / Total: 10000/10000, Top-1 accuracy: 1.0, Top-5 correct / Total: 10000/10000, Top-5 accuracy: 1.0, mean loss: 5.622037519970036e-07, time: 9.010356426239014
[2026-04-22_18:32:04] Epoch:31/150, iteration:70/390, lr: 0.10000000149011612, loss: 0.1932705193758011, time: 17.447518825531006
[2026-04-22_18:32:16] Epoch:31/150, iteration:170/390, lr: 0.10000000149011612, loss: 0.2612394094467163, time: 11.745617628097534
[2026-04-22_18:32:28] Epoch:31/150, iteration:270/390, lr: 0.10000000149011612, loss: 0.22779032588005066, time: 11.758882761001587
[2026-04-22_18:32:39] Epoch:31/150, iteration:370/390, lr: 0.10000000149011612, loss: 0.3299073278903961, time: 11.748099327087402
